,Year,Genre,Distinct_Title_Count
0,1916-01-01,Drama,1
1,1916-01-01,History,1
2,1920-01-01,Crime,1
3,1920-01-01,Drama,1
4,1921-01-01,Comedy,1
5,1921-01-01,Drama,1
6,1921-01-01,Family,1
7,1925-01-01,Adventure,1
8,1925-01-01,Comedy,1
9,1925-01-01,Drama,2
10,1925-01-01,Romance,1
11,1925-01-01,War,1
12,1926-01-01,Action,1
13,1926-01-01,Adventure,1
14,1926-01-01,Comedy,1
15,1927-01-01,Drama,2
16,1927-01-01,Romance,1
17,1927-01-01,Sci-Fi,1
18,1928-01-01,Biography,1
19,1928-01-01,Drama,1
20,1928-01-01,History,1
21,1929-01-01,Crime,1
22,1929-01-01,Drama,2
23,1929-01-01,Musical,1
24,1929-01-01,Romance,2
25,1930-01-01,Drama,2
26,1930-01-01,War,2
27,1931-01-01,Comedy,1
28,1931-01-01,Crime,1
29,1931-01-01,Drama,2
30,1931-01-01,Mystery,1
31,1931-01-01,Romance,1
32,1932-01-01,Drama,1
33,1932-01-01,Romance,1
34,1932-01-01,War,1
35,1933-01-01,Comedy,2
36,1933-01-01,Drama,1
37,1933-01-01,History,1
38,1933-01-01,Musical,1
39,1933-01-01,Romance,1
40,1934-01-01,Comedy,1
41,1934-01-01,Romance,1
42,1935-01-01,Comedy,2
43,1935-01-01,Music,1
44,1935-01-01,Musical,2
45,1935-01-01,Romance,1
46,1936-01-01,Action,1
47,1936-01-01,Adventure,1
48,1936-01-01,Comedy,1
49,1936-01-01,Drama,1
50,1936-01-01,Family,1
51,1936-01-01,Romance,1
52,1937-01-01,Adventure,1
53,1937-01-01,Animation,1
54,1937-01-01,Drama,1
55,1937-01-01,Family,1
56,1937-01-01,Fantasy,1
57,1937-01-01,Romance,1
58,1938-01-01,Comedy,1
59,1938-01-01,Drama,2
60,1938-01-01,Musical,1
61,1938-01-01,Romance,2
62,1939-01-01,Adventure,1
63,1939-01-01,Comedy,1
64,1939-01-01,Drama,2
65,1939-01-01,Family,1
66,1939-01-01,Fantasy,1
67,1939-01-01,History,1
68,1939-01-01,Romance,1
69,1940-01-01,Adventure,1
70,1940-01-01,Animation,2
71,1940-01-01,Comedy,4
72,1940-01-01,Drama,6
73,1940-01-01,Family,3
74,1940-01-01,Fantasy,2
75,1940-01-01,History,1
76,1940-01-01,Mystery,1
77,1940-01-01,Romance,4
78,1940-01-01,War,1
79,1941-01-01,Drama,2
80,1941-01-01,Family,1
81,1941-01-01,Film-Noir,1
82,1941-01-01,Mystery,2
83,1942-01-01,Animation,1
84,1942-01-01,Drama,2
85,1942-01-01,Family,1
86,1942-01-01,Romance,1
87,1942-01-01,War,1
88,1943-01-01,Drama,1
89,1943-01-01,Romance,1
90,1943-01-01,War,1
91,1944-01-01,Comedy,2
92,1944-01-01,Crime,3
93,1944-01-01,Drama,3
94,1944-01-01,Film-Noir,2
95,1944-01-01,Musical,1
96,1944-01-01,Mystery,1
97,1944-01-01,Thriller,1
98,1945-01-01,Comedy,1
99,1945-01-01,Drama,4
100,1945-01-01,Film-Noir,2
101,1945-01-01,Musical,1
102,1945-01-01,Mystery,1
103,1945-01-01,Romance,2
104,1946-01-01,Crime,1
105,1946-01-01,Drama,4
106,1946-01-01,Family,1
107,1946-01-01,Fantasy,1
108,1946-01-01,Film-Noir,2
109,1946-01-01,Mystery,1
110,1946-01-01,Romance,3
111,1946-01-01,War,1
112,1946-01-01,Western,1
113,1947-01-01,Adventure,1
114,1947-01-01,Crime,2
115,1947-01-01,Drama,4
116,1947-01-01,Film-Noir,2
117,1947-01-01,Romance,2
118,1948-01-01,Action,1
119,1948-01-01,Adventure,3
120,1948-01-01,Comedy,1
121,1948-01-01,Crime,2
122,1948-01-01,Drama,4
123,1948-01-01,Musical,1
124,1948-01-01,Romance,1
125,1948-01-01,Thriller,1
126,1948-01-01,Western,1
127,1949-01-01,Action,1
128,1949-01-01,Comedy,1
129,1949-01-01,Crime,1
130,1949-01-01,Drama,1
131,1949-01-01,Film-Noir,1
132,1949-01-01,Mystery,1
133,1949-01-01,Romance,1
134,1949-01-01,Thriller,1
135,1949-01-01,Western,1
136,1950-01-01,Biography,1
137,1950-01-01,Comedy,2
138,1950-01-01,Crime,1
139,1950-01-01,Drama,4
140,1950-01-01,Fantasy,1
141,1950-01-01,Film-Noir,1
142,1950-01-01,Musical,1
143,1950-01-01,Mystery,1
144,1951-01-01,Biography,1
145,1951-01-01,Crime,1
146,1951-01-01,Drama,3
147,1951-01-01,Family,1
148,1951-01-01,Film-Noir,1
149,1951-01-01,History,1
150,1951-01-01,Musical,1
151,1951-01-01,Thriller,1
152,1952-01-01,Comedy,1
153,1952-01-01,Crime,1
154,1952-01-01,Drama,4
155,1952-01-01,Family,1
156,1952-01-01,Film-Noir,1
157,1952-01-01,Musical,1
158,1952-01-01,Romance,2
159,1952-01-01,Thriller,1
160,1952-01-01,Western,1
161,1953-01-01,Adventure,2
162,1953-01-01,Comedy,1
163,1953-01-01,Drama,5
164,1953-01-01,Film-Noir,1
165,1953-01-01,History,1
166,1953-01-01,Horror,1
167,1953-01-01,Romance,2
168,1953-01-01,Sci-Fi,1
169,1953-01-01,Thriller,2
170,1953-01-01,War,2
171,1954-01-01,Adventure,2
172,1954-01-01,Biography,1
173,1954-01-01,Crime,2
174,1954-01-01,Drama,4
175,1954-01-01,Family,1
176,1954-01-01,Film-Noir,1
177,1954-01-01,History,1
178,1954-01-01,Mystery,1
179,1954-01-01,Thriller,3
180,1955-01-01,Comedy,1
181,1955-01-01,Crime,2
182,1955-01-01,Drama,4
183,1955-01-01,Fantasy,1
184,1955-01-01,Film-Noir,1
185,1955-01-01,Horror,1
186,1955-01-01,Mystery,1
187,1956-01-01,Adventure,1
188,1956-01-01,Crime,1
189,1956-01-01,Drama,5
190,1956-01-01,Film-Noir,1
191,1956-01-01,Romance,2
192,1956-01-01,Western,1
193,1957-01-01,Adventure,1
194,1957-01-01,Crime,2
195,1957-01-01,Drama,8
196,1957-01-01,Family,1
197,1957-01-01,Fantasy,1
198,1957-01-01,Musical,1
199,1957-01-01,Mystery,1
200,1957-01-01,Romance,1
201,1957-01-01,War,2
202,1958-01-01,Adventure,1
203,1958-01-01,Crime,1
204,1958-01-01,Drama,2
205,1958-01-01,Film-Noir,1
206,1958-01-01,Horror,1
207,1958-01-01,Mystery,1
208,1958-01-01,Romance,2
209,1958-01-01,Sci-Fi,1
210,1958-01-01,Thriller,1
211,1959-01-01,Action,3
212,1959-01-01,Adventure,3
213,1959-01-01,Comedy,2
214,1959-01-01,Crime,2
215,1959-01-01,Drama,7
216,1959-01-01,Family,1
217,1959-01-01,Fantasy,1
218,1959-01-01,History,2
219,1959-01-01,Mystery,2
220,1959-01-01,Romance,2
221,1959-01-01,Sci-Fi,1
222,1959-01-01,Western,1
223,1960-01-01,Comedy,1
224,1960-01-01,Drama,2
225,1960-01-01,Horror,2
226,1960-01-01,Mystery,1
227,1960-01-01,Romance,1
228,1960-01-01,Thriller,1
229,1961-01-01,Action,1
230,1961-01-01,Comedy,1
231,1961-01-01,Crime,1
232,1961-01-01,Drama,6
233,1961-01-01,Horror,1
234,1961-01-01,Musical,1
235,1961-01-01,Romance,1
236,1961-01-01,Sci-Fi,2
237,1961-01-01,Sport,1
238,1961-01-01,Thriller,1
239,1961-01-01,War,1
240,1961-01-01,Western,1
241,1962-01-01,Action,3
242,1962-01-01,Adventure,2
243,1962-01-01,Biography,1
244,1962-01-01,Comedy,1
245,1962-01-01,Crime,2
246,1962-01-01,Drama,7
247,1962-01-01,History,1
248,1962-01-01,Horror,2
249,1962-01-01,Romance,1
250,1962-01-01,Sci-Fi,1
251,1962-01-01,Thriller,3
252,1962-01-01,Western,1
253,1963-01-01,Action,3
254,1963-01-01,Adventure,6
255,1963-01-01,Biography,1
256,1963-01-01,Comedy,3
257,1963-01-01,Drama,6
258,1963-01-01,Fantasy,1
259,1963-01-01,History,3
260,1963-01-01,Romance,1
261,1963-01-01,Sport,1
262,1963-01-01,Thriller,1
263,1964-01-01,Action,1
264,1964-01-01,Adventure,2
265,1964-01-01,Comedy,4
266,1964-01-01,Drama,5
267,1964-01-01,Family,3
268,1964-01-01,Fantasy,1
269,1964-01-01,History,1
270,1964-01-01,Horror,1
271,1964-01-01,Music,1
272,1964-01-01,Musical,2
273,1964-01-01,Romance,1
274,1964-01-01,Thriller,2
275,1964-01-01,War,2
276,1964-01-01,Western,1
277,1965-01-01,Action,1
278,1965-01-01,Adventure,2
279,1965-01-01,Animation,1
280,1965-01-01,Biography,2
